4bf58dd8d48988d1a5941735,College Lab,schema:CivicStructure
4bf58dd8d48988d1a7941735,College Library,schema:Library
4bf58dd8d48988d1aa941735,College Quad,schema:CivicStructure
4bf58dd8d48988d1a9941735,College Rec Center,schema:CivicStructure
4bf58dd8d48988d1a3941735,College Residence Hall,schema:Residence
4bf58dd8d48988d1b4941735,College Stadium,schema:StadiumOrArena
4bf58dd8d48988d1bb941735,College Baseball Diamond,schema:StadiumOrArena
4bf58dd8d48988d1ba941735,College Basketball Court,schema:StadiumOrArena
4bf58dd8d48988d1b9941735,College Cricket Pitch,schema:StadiumOrArena
4bf58dd8d48988d1b8941735,College Football Field,schema:StadiumOrArena
4bf58dd8d48988d1b5941735,College Hockey Rink,schema:StadiumOrArena
4bf58dd8d48988d1b7941735,College Soccer Field,schema:StadiumOrArena
4e39a9cebd410d7aed40cbc4,College Tennis Court,schema:TennisComplex
4bf58dd8d48988d1b6941735,College Track,schema:SportsActivityLocation
4bf58dd8d48988d1ac941735,College Theater,schema:PerformingArtsTheater
4bf58dd8d48988d1a2941735,Community College,schema:CivicStructure
4bf58dd8d48988d1b0941735,Fraternity House,schema:CivicStructure
4bf58dd8d48988d1a8941735,General College & University,schema:CivicStructure
4bf58dd8d48988d1a6941735,Law School,schema:CivicStructure
4bf58dd8d48988d1b3941735,Medical School,schema:CivicStructure
4bf58dd8d48988d141941735,Sorority House,schema:CivicStructure
4bf58dd8d48988d1ab941735,Student Center,schema:CivicStructure
4bf58dd8d48988d1ad941735,Trade School,schema:CivicStructure
4bf58dd8d48988d1ae941735,University,schema:CivicStructure
4d4b7105d754a06373d81259,Event,schema:Event
52f2ab2ebcbc57f1066b8b3b,Christmas Market,schema:Event
5267e4d9e4b0ec79466e48c6,Conference,schema:Event
5267e4d9e4b0ec79466e48c9,Convention,schema:Event
5267e4d9e4b0ec79466e48c7,Festival,schema:Festival
58daa1558bbb0b01f18ec1fa,Line / Queue,schema:Event
5267e4d9e4b0ec79466e48d1,Music Festival,schema:MusicEvent
5267e4d9e4b0ec79466e48c8,Other Event,schema:Event
52741d85e4b0d5d1e3c6a6d9,Parade,schema:Event
5bae9231bedf3950379f89c5,Sporting Event,schema:SportsEvent
52f2ab2ebcbc57f1066b8b54,Stoop Sale,schema:SaleEvent
5267e4d8e4b0ec79466e48c5,Street Fair,schema:Event
5bae9231bedf3950379f89c3,Trade Fair,schema:ExhibitionEvent
4d4b7105d754a06374d81259,Food,schema:FoodEstablishment
503288ae91d4c4b30a586d67,Afghan Restaurant,schema:Restaurant
4bf58dd8d48988d1c8941735,African Restaurant,schema:Restaurant
4bf58dd8d48988d10a941735,Ethiopian Restaurant,schema:Restaurant
4bf58dd8d48988d14e941735,American Restaurant,schema:Restaurant
4bf58dd8d48988d157941735,New American Restaurant,schema:Restaurant
4bf58dd8d48988d142941735,Asian Restaurant,schema:Restaurant
56aa371be4b08b9a8d573568,Burmese Restaurant,schema:Restaurant
52e81612bcbc57f1066b7a03,Cambodian Restaurant,schema:Restaurant
4bf58dd8d48988d145941735,Chinese Restaurant,schema:Restaurant
52af3a5e3cf9994f4e043bea,Anhui Restaurant,schema:Restaurant
52af3a723cf9994f4e043bec,Beijing Restaurant,schema:Restaurant
